ds,y,moving_avg
2015-01-02,24.288572311401367,24.0588680267334
2015-01-05,23.60433578491211,24.0588680267334
2015-01-06,23.606557846069336,24.0588680267334
2015-01-07,23.93756866455078,24.0588680267334
2015-01-08,24.8573055267334,24.0588680267334
2015-01-09,24.88396453857422,24.177946472167967
2015-01-12,24.270801544189453,24.311239624023436
2015-01-13,24.486299514770508,24.487187957763673
2015-01-14,24.39299201965332,24.57827262878418
2015-01-15,23.730960845947266,24.353003692626952
2015-01-16,23.546567916870117,24.085524368286134
2015-01-20,24.15306282043457,24.061976623535156
2015-01-21,24.33745574951172,24.032207870483397
2015-01-22,24.970609664916992,24.147731399536134
2015-01-23,25.099458694458008,24.42143096923828
2015-01-26,25.126115798950195,24.7373405456543
2015-01-27,24.246370315551758,24.756002044677736
2015-01-28,25.617090225219727,25.011928939819335
2015-01-29,26.414640426635742,25.300735092163087
2015-01-30,26.02808380126953,25.48646011352539
2015-02-02,26.354652404785156,25.732167434692382
2015-02-03,26.359100341796875,26.154713439941407
2015-02-04,26.56125831604004,26.343547058105468
2015-02-05,26.750839233398438,26.410786819458007
2015-02-06,26.525577545166016,26.510285568237304
2015-02-09,26.701778411865234,26.57971076965332
2015-02-10,27.214754104614258,26.750841522216795
2015-02-11,27.852628707885742,27.009115600585936
2015-02-12,28.205036163330078,27.299954986572267
2015-02-13,28.343313217163086,27.66350212097168
2015-02-17,28.510591506958008,28.025264739990234
2015-02-18,28.70909881591797,28.324133682250977
2015-02-19,28.64887046813965,28.48338203430176
2015-02-20,28.88304901123047,28.618984603881835
2015-02-23,29.663681030273438,28.883058166503908
2015-02-24,29.478565216064453,29.076652908325194
2015-02-25,28.72469711303711,29.079772567749025
2015-02-26,29.088253021240234,29.16764907836914
2015-02-27,28.65110206604004,29.121259689331055
2015-03-02,28.791614532470703,28.946846389770506
2015-03-03,28.85183334350586,28.82150001525879
2015-03-04,28.6689395904541,28.810348510742188
2015-03-05,28.193883895874023,28.631474685668945
2015-03-06,28.236257553100586,28.548505783081055
2015-03-09,28.35669708251953,28.46152229309082
2015-03-10,27.770116806030273,28.245178985595704
2015-03-11,27.26382064819336,27.964155197143555
2015-03-12,27.756729125976562,27.876724243164062
2015-03-13,27.564916610717773,27.7424560546875
2015-03-16,27.868249893188477,27.64476661682129
2015-03-17,28.334396362304688,27.757622528076173
2015-03-18,28.653337478637695,28.03552589416504
2015-03-19,28.436994552612305,28.17157897949219
2015-03-20,28.08013916015625,28.274623489379884
2015-03-23,28.372304916381836,28.375434494018556
2015-03-24,28.25632667541504,28.359820556640624
2015-03-25,27.518077850341797,28.132768630981445
2015-03-26,27.70989227294922,27.98734817504883
2015-03-27,27.489089965820312,27.869138336181642
2015-03-30,28.184961318969727,27.83166961669922
2015-03-31,27.752273559570312,27.730858993530273
2015-04-01,27.712125778198242,27.769668579101562
2015-04-02,27.950769424438477,27.817844009399415
2015-04-06,28.403535842895508,28.000733184814454
2015-04-07,28.10466766357422,27.98467445373535
2015-04-08,28.013229370117188,28.036865615844725
2015-04-09,28.22733497619629,28.139907455444337
2015-04-10,28.34777069091797,28.219307708740235
2015-04-13,28.29201316833496,28.197003173828126
2015-04-14,28.169349670410156,28.209939575195314
2015-04-15,28.27640151977539,28.262574005126954
2015-04-16,28.14035415649414,28.245177841186525
2015-04-17,27.82364273071289,28.140352249145508
2015-04-20,28.45928382873535,28.173806381225585
2015-04-21,28.30539321899414,28.201015090942384
2015-04-22,28.686790466308594,28.283092880249022
2015-04-23,28.920970916748047,28.439216232299806
2015-04-24,29.057031631469727,28.685894012451172
2015-04-27,29.585615158081055,28.911160278320313
2015-04-28,29.11948013305664,29.073977661132812
2015-04-29,28.691247940063477,29.07486915588379
2015-04-30,27.912853240966797,28.873245620727538
2015-05-01,28.76038932800293,28.81391716003418
2015-05-04,28.704626083374023,28.637719345092773
2015-05-05,28.057825088500977,28.42538833618164
2015-05-06,27.88163185119629,28.263465118408202
2015-05-07,28.0540828704834,28.291711044311523
2015-05-08,28.582653045654297,28.256163787841796
2015-05-11,28.291494369506836,28.17353744506836
2015-05-12,28.190706253051758,28.200113677978514
2015-05-13,28.222064971923828,28.268200302124022
2015-05-14,28.880523681640625,28.43348846435547
2015-05-15,28.8402099609375,28.48499984741211
2015-05-18,29.158239364624023,28.658348846435548
2015-05-19,29.131364822387695,28.846480560302734
2015-05-20,29.12912940979004,29.027893447875975
2015-05-21,29.426998138427734,29.137188339233397
2015-05-22,29.684560775756836,29.306058502197267
2015-05-26,29.030576705932617,29.280525970458985
2015-05-27,29.57257652282715,29.368768310546876
2015-05-28,29.514354705810547,29.445813369750976
2015-05-29,29.17840003967285,29.39609375
2015-06-01,29.236623764038086,29.30650634765625
2015-06-02,29.106735229492188,29.321738052368165
2015-06-03,29.142555236816406,29.235733795166016
2015-06-04,28.972347259521484,29.127332305908205
2015-06-05,28.813329696655273,29.054318237304688
2015-06-08,28.622961044311523,28.931585693359374
2015-06-09,28.53785514831543,28.817809677124025
2015-06-10,28.864843368530273,28.762267303466796
2015-06-11,28.799890518188477,28.727775955200194
2015-06-12,28.481861114501953,28.66148223876953
2015-06-15,28.425872802734375,28.6220645904541
2015-06-16,28.578161239624023,28.63012580871582
2015-06-17,28.51097869873047,28.55935287475586
2015-06-18,28.640880584716797,28.527550888061523
2015-06-19,28.354198455810547,28.50201835632324
2015-06-22,28.580406188964844,28.532925033569335
2015-06-23,28.450502395629883,28.507393264770506
2015-06-24,28.692394256591797,28.543676376342773
2015-06-25,28.55577850341797,28.52665596008301
