ds,y,moving_avg,yhat,yhat_lower,yhat_upper
2015-01-02,24.288572311401367,24.0588680267334,174.408877067079,172.74449285836448,176.18224557220321
2015-01-05,23.60433578491211,24.0588680267334,174.5125817219854,172.59618220232463,176.124434192609
2015-01-06,23.606557846069336,24.0588680267334,174.54442669860904,172.62558706568424,176.17923577166783
2015-01-07,23.93756866455078,24.0588680267334,174.5781148231614,172.86387958264888,176.26996142529606
2015-01-08,24.8573055267334,24.0588680267334,174.51807092075285,172.8599322922705,176.1722594205962
2015-01-09,24.88396453857422,24.177946472167967,174.41417264642257,172.6840447346981,176.05321806475473
2015-01-12,24.270801544189453,24.311239624023436,174.589546778105,172.93385390442987,176.21423299331965
2015-01-13,24.486299514770508,24.487187957763673,174.64105263437597,172.89138213592403,176.40693876014439
2015-01-14,24.39299201965332,24.57827262878418,174.69150496633281,172.93486424931388,176.26073100871074
2015-01-15,23.730960845947266,24.353003692626952,174.64495189861515,172.94271828001732,176.27202607267589
2015-01-16,23.546567916870117,24.085524368286134,174.5509694935832,172.74793379392173,176.2987131216474
2015-01-20,24.15306282043457,24.061976623535156,174.77869704069144,173.0534188124769,176.54153026184932
2015-01-21,24.33745574951172,24.032207870483397,174.8196703446426,173.0917028634247,176.5399859829793
2015-01-22,24.970609664916992,24.147731399536134,174.76007516366232,173.06557003145622,176.5679828967195
2015-01-23,25.099458694458008,24.42143096923828,174.649786950625,173.01475756603077,176.3735927812543
2015-01-26,25.126115798950195,24.7373405456543,174.7671893582278,172.97670367338083,176.5688436096222
2015-01-27,24.246370315551758,24.756002044677736,174.78788039381274,173.0802347761246,176.6877750718811
2015-01-28,25.617090225219727,25.011928939819335,174.80280229081026,173.07738618382436,176.64502438562133
2015-01-29,26.414640426635742,25.300735092163087,174.71677272005974,172.9484183074256,176.39495114067114
2015-01-30,26.02808380126953,25.48646011352539,174.580211579907,172.84152802901727,176.2678963393061
2015-02-02,26.354652404785156,25.732167434692382,174.6248724332528,172.90654768763713,176.4911358630662
2015-02-03,26.359100341796875,26.154713439941407,174.62484882305492,172.76825677368308,176.13297301592698
2015-02-04,26.56125831604004,26.343547058105468,174.62144161149266,173.00113561350238,176.3898700748297
2015-02-05,26.750839233398438,26.410786819458007,174.51974237058332,172.77381009822363,176.14750449564727
2015-02-06,26.525577545166016,26.510285568237304,174.3703718322584,172.69051477381268,175.9636550050537
2015-02-09,26.701778411865234,26.57971076965332,174.39463147787495,172.62400451890616,176.11558034080653
2015-02-10,27.214754104614258,26.750841522216795,174.39372814623468,172.67561343610984,176.31623959153498
2015-02-11,27.852628707885742,27.009115600585936,174.39218076009325,172.70007008546673,176.12026943777371
2015-02-12,28.205036163330078,27.299954986572267,174.29485481589813,172.54492152493793,176.04230056503866
2015-02-13,28.343313217163086,27.66350212097168,174.15209392629703,172.4539076154186,175.87170546375097
2015-02-17,28.510591506958008,28.025264739990234,174.21750233003098,172.46912615680688,175.84681595922473
2015-02-18,28.70909881591797,28.324133682250977,174.2285409159038,172.532861116048,175.98195829968336
2015-02-19,28.64887046813965,28.48338203430176,174.14390600860685,172.35411210755797,175.79809726769523
2015-02-20,28.88304901123047,28.618984603881835,174.01361455441352,172.26067428395345,175.71025749778875
2015-02-23,29.663681030273438,28.883058166503908,174.101203493884,172.50985054630362,175.84130138574702
2015-02-24,29.478565216064453,29.076652908325194,174.1215847783687,172.29681877887458,175.83629031825836
2015-02-25,28.72469711303711,29.079772567749025,174.14061130790387,172.3632894998881,175.99773962087662
2015-02-26,29.088253021240234,29.16764907836914,174.0627770403148,172.2253733525008,175.8445729390882
2015-02-27,28.65110206604004,29.121259689331055,173.9381406063762,172.20273480485375,175.58228877772484
2015-03-02,28.791614532470703,28.946846389770506,174.03706541932715,172.26690085971046,175.76217881686765
2015-03-03,28.85183334350586,28.82150001525879,174.06000009259003,172.2296745042226,175.95855730599934
2015-03-04,28.6689395904541,28.810348510742188,174.08138427243512,172.42154857316618,175.84843133996057
2015-03-05,28.193883895874023,28.631474685668945,174.0059973218065,172.21939961765887,175.83536623480833
2015-03-06,28.236257553100586,28.548505783081055,173.8841922122218,172.0365410081487,175.5718138098603
2015-03-09,28.35669708251953,28.46152229309082,173.99676152570692,172.35785914768422,175.79659746869729
2015-03-10,27.770116806030273,28.245178985595704,174.02680235268613,172.4370861422461,175.7156931957965
2015-03-11,27.26382064819336,27.964155197143555,174.0569034858064,172.34016366527663,175.68350796483233
2015-03-12,27.756729125976562,27.876724243164062,173.991971911556,172.31030995681783,175.81979441347107
2015-03-13,27.564916610717773,27.7424560546875,173.88243093381945,172.2228332885575,175.68579816251062
2015-03-16,27.868249893188477,27.64476661682129,174.04240250744388,172.25989358926464,175.85240565093633
2015-03-17,28.334396362304688,27.757622528076173,174.09137316314923,172.45162065135352,175.78960545900125
2015-03-18,28.653337478637695,28.03552589416504,174.14160502758614,172.370500815355,175.80985487227187
2015-03-19,28.436994552612305,28.17157897949219,174.09769850679126,172.33438519539712,175.79415164669555
2015-03-20,28.08013916015625,28.274623489379884,174.00971983451765,172.29403069329217,175.59883894369295
2015-03-23,28.372304916381836,28.375434494018556,174.23345603564778,172.3970537291302,176.0831538726867
2015-03-24,28.25632667541504,28.359820556640624,174.30187274541703,172.64160968392432,176.11480323244706
2015-03-25,27.518077850341797,28.132768630981445,174.3698760044788,172.64801213799416,176.0943321871448
2015-03-26,27.70989227294922,27.98734817504883,174.3416177553367,172.56556442524985,176.0096181409788
2015-03-27,27.489089965820312,27.869138336181642,174.26674189871503,172.51757233887955,176.06872828399594
